destination,manhattan distance,total time,adjusted time,adjusted time / communication,
1,1.00,0.31969819533318,0.20669819533318,0.00000206698195,
2,2.0,0.32469966833347524,0.211699668333475,0.00000211699668333475,
3,3.00,0.32942144099994647,0.216421440999946,0.00000216421440999946,
4,1,0.3200260909999694,0.207026090999969,0.00000207026090999969,
5,2.00,0.32478121933339327,0.211781219333393,0.00000211781219333393,
6,3.0,0.32984001466669116,0.216840014666691,0.00000216840014666691,
7,4.00,0.3347112133334728,0.221711213333473,0.00000221711213333473,
8,2,0.3250103489998158,0.212010348999816,0.00000212010348999816,
9,3.00,0.3298040833334805,0.216804083333481,0.00000216804083333481,
10,4.0,0.3347250449999895,0.22172504499999,0.0000022172504499999,
11,5.00,0.3391782336666438,0.226178233666644,0.00000226178233666644,
12,3,0.3293901776666341,0.216390177666634,0.00000216390177666634,
13,4.00,0.33422935633340484,0.221229356333405,0.00000221229356333405,
14,5.0,0.33946336966679763,0.226463369666798,0.00000226463369666798,
15,6.00,0.34418802133329035,0.23118802133329,0.0000023118802133329,
